token,status
0xec81C3EF221EF50EaC72F473782fa9D99002fF02,fot
0x9863BcC2Fb23dfDf5fE275Aa4C5575a32A580911,not fot
0x34DF29Dd880e9fe2cec0f85f7658B75606fB2870,fot
0xee3200F94a1A2345E6Cc486032a5Df1D50cb621c,fot
0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,not fot
0x7A74C9129B161ae1De8d6c7556306cBD791ae808,fot
0x4206931337dc273a630d328dA6441786BfaD668f,not fot
0xbC396689893D065F41bc2C6EcbeE5e0085233447,not fot
0x1E1D8d6d00E0b8f9102d2b3D77de439774A70E97,fot
0x8Ab7404063Ec4DBcfd4598215992DC3F8EC853d7,not fot
0xAdbf092241F806AE43B0395BCa9E0eC83155816B,not fot
0x15A5343E60afFB7F711e5eD4d24c714E62a30ff6,not fot
0xe4eFDd2eb216A4620cfA55c5cC67Bd09DC64Ff24,fot
0xF33893DE6eB6aE9A67442E066aE9aBd228f5290c,not fot
0x2596825a84888E8f24b747DF29e11b5dd03C81D7,not fot
0x64aa3364F17a4D01c6f1751Fd97C2BD3D7e7f1D5,not fot
0xCE3f08e664693ca792caCE4af1364D5e220827B2,fot
0x085e5Aa6f1c10548030d0cEC7f7C7A17aC8d53A8,not fot
0x8e45A01a5402C2a0B7c4982869B0b43155dB189b,not fot
0x3ed112ce225f82da03918827631703e616fa14fe,not fot
0xdbEc285c6B8BCaC15251929D1079bBA25D19f4Eb,not fot
0x628A3b2E302C7e896AcC432D2d0dD22B6cb9bc88,not fot
0x73173012DD49e5ba600C12EB66C0BB9f9DEd0410,fot
0x00000000051b48047bE6DC0Ada6DE5c3de86A588,fot
0x226d6d842D49b4D757bEf1632053a198D5D9c8aA,fot
0xD3D0cFF8d48846042f17583ADd5B795cfd81A0d2,fot
0x8Cb3bF9ebf832C4Cbd4eC4e7AAB7Dea4F45c3AfD,not fot
0xe0A458BF4AcF353cB45e211281A334BB1d837885,not fot
0x5BffE8DdFF21cA52D8371B14a6c39D6ae3C5D2C7,not fot
0xA0117792d4B100Fd329B37e8AB4181dF8a5b3326,not fot
0x08D0222A206D1AeE59A9b66969c04FD1e8A0f864,not fot
0x95C26AF19CB8d2F550DC425cC5939e37FEcDaBA9,fot
0x23BA0eCf774a86Ae7602942DA41dCdCc382Eb96A,fot
0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,not fot
0xd2bDaAF2b9cc6981fd273DcB7C04023bFbe0a7fe,not fot
0xD34a01e55C52AeD7D5CF77B5dC474d0fcb79eE81,not fot
0x762e8464E5e99D0AB7353F00C635F5b03b6f806E,not fot
0x714F57EF14E1133f5aa9F89152C35245730af64f,not fot
0x38029C62DfA30D9FD3CaDf4C64e9b2ab21DbDa17,fot
0x1142866f451d9d5281C5C8349a332bD338e552a1,not fot
0xfAc0403a24229d7e2Edd994D50F5940624CBeac2,not fot
0x000000e29fa2bd3E5C215fFc71aA66b29c9769A2,not fot
0x1dD80016e3d4ae146Ee2EBB484e8edD92dacC4ce,not fot
0x24249b5a869a445C9B0CE269a08d73c618dF9d21,fot
0x8C543AED163909142695f2d2aCd0D55791a9Edb9,not fot
0xD502F487e1841Fdc805130e13eae80c61186Bc98,not fot
0xbec78FDAB971164C18Ab48cFf81c4ab3547Bd722,fot
0x4E15361FD6b4BB609Fa63C81A2be19d873717870,not fot
0xf3b9569F82B18aEf890De263B84189bd33EBe452,not fot
0x3a6dC7EeFef660be5C254C8AA1b710202151E345,not fot
0x525A8F6F3Ba4752868cde25164382BfbaE3990e1,not fot
0xB0D40389275F4428541b2C0eBC37717dFc4B33Dc,not fot
0xE44ac096D96b7918afc0d98cB18D40c5CA5868aB,fot
0xAbD893C19423b35bf5Eb0ae00E90a1BB86aE68c9,not fot
0xc485FAb593637EFeB0CB8bfb6071d02DC5285A9D,fot
0x0b38210ea11411557c13457D4dA7dC6ea731B88a,not fot
0x3b11f0B0A99B5B83110Fae19953e0B549CDCcCa9,fot
0xe0c99ED6950ccb38347154aBD06E10eBa5A1f89a,not fot
0x5a3e6A77ba2f983eC0d371ea3B475F8Bc0811AD5,fot
0xc384B74790A85a4F3bA67B2926CEb5B5675D6227,fot
0x467Bccd9d29f223BcE8043b84E8C8B282827790F,not fot
0x7b744eEa1dECa2f1B7b31F15Ba036Fa1759452d7,not fot
0x3597bfD533a99c9aa083587B074434E61Eb0A258,not fot
0xB5ea574dD8f2b735424dfC8c4E16760Fc44a931b,not fot
0x486c280024B5428459Ec3360f99183a61D41D9A3,fot
0xD533a949740bb3306d119CC777fa900bA034cd52,not fot
0x576e2BeD8F7b46D34016198911Cdf9886f78bea7,fot
0x58C473e0f1c2c22a86eE4afdF04a731a1c8381a0,fot
0x32b86b99441480a7E5BD3A26c124ec2373e3F015,not fot
0x9b0E1C344141fB361B842d397dF07174E1CDb988,fot
0x302CAe5dcf8f051d0177043C3438020b89b33218,not fot
0x730f8C56C709c5F5B4a6e91f98Fa7A7C410E990d,fot
0xBb63E6BE33Bc5B5386d7ab0529Dc6C400F2AC2eC,not fot
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,not fot
0x571E21a545842C6CE596663cdA5CaA8196AC1c7A,fot
0xD0E94BF2466979B81d738c34058d4a6559c4D8BE,fot
0x4DB5C8875ef00ce8040A9685581fF75C3c61aDC8,not fot
0x0c48250Eb1f29491F1eFBeEc0261eb556f0973C7,fot
0x3e34eabF5858a126cb583107E643080cEE20cA64,fot
0x225927F8fa71d16EE07968B8746364D1d9F839bD,not fot
0x75C97384cA209f915381755c582EC0E2cE88c1BA,not fot
0xE4aB0bE415e277d82C38625B72BD7DeA232C2E7d,fot
0xD591B0Bc0d937b9dF9b6EB4e62e908706300Dfc5,fot
0x9F1c9741cB9BCb2aDC062F23E2ed90c3Eb47cB80,fot
0xfb66321D7C674995dFcC2cb67A30bC978dc862AD,fot
0xd26b94dBf1bBC840774b9D6Ba7a0B9145d118589,not fot
0x07E0EDf8ce600FB51d44F51E3348D77D67F298ae,fot
0x8423B76BE8ef6CA7400a6b4c334d29C1D5d4572c,could not decide
0x63F314C44D164D5Be423199AFBfbe129D72d3EA6,could not decide
0x108388A5B0eb47629138250B6361924813A2aCD6,could not decide
0xa2327a938Febf5FEC13baCFb16Ae10EcBc4cbDCF,could not decide
0xe6F47303032a09c8C0F8EBb713c00e6eD345E8c3,could not decide
0x8Fc8f8269ebca376D046Ce292dC7eaC40c8D358A,could not decide
0x1a1fdf27c5e6784d1cEbF256A8A5Cc0877e73Af0,could not decide
0x54DeBE126da16A8fCAa67285d6830C3A7C6752fd,could not decide
0x2afb813363F9339bb9C7ab59C0D33f11dE1bfaeF,could not decide
0xddceA43727558126C00eea772D660dfbe9C39613,could not decide
0x2A3F1A37C04F82aA274f5353834B2d002Db91015,could not decide
0x85Eee30c52B0b379b046Fb0F85F4f3Dc3009aFEC,could not decide
0x3669c9E2467fef198FB7963A2dF887D0a005216C,could not decide
0xBB0E17EF65F82Ab018d8EDd776e8DD940327B28b,could not decide
0x16537596d037f9343413d083be84e4Ed7243e975,could not decide
0x12970E6868f88f6557B76120662c1B3E50A646bf,could not decide
0xbB4f3aD7a2cf75d8EfFc4f6D7BD21d95F06165ca,could not decide
0xffFa78c979C2F787B16eaC7C7e9c77b11fEb77FB,could not decide
0x53C24955500eFf0d3320068480294Fc0205e0408,could not decide
0x17144556fd3424EDC8Fc8A4C940B2D04936d17eb,could not decide
